FATAL ODDS - STAT REGISTRY REPORT
Generated: 2025-06-25 21:15:47

SUMMARY STATISTICS
Total Stats,156
Unique Owners,4
Categories,23
Stats with Items,0
Stats with Abilities,0
Unmodified Stats,156

ALL STATS
Owner,Category,Stat Name,Field Name,Type,Base Value,Description,Affected By Items,Affected By Abilities,Total Modifications
Player,Economy/Player,Base Boss Coin Value,baseBossCoinValue,CoinSystem,25.00,Base coins dropped by boss enemies,None,None,0
Player,Economy/Player,Base Enemy Coin Value,baseEnemyCoinValue,CoinSystem,5.00,Base coins dropped by regular enemies,None,None,0
Player,Economy/Player,Current Coins,currentCoins,CoinSystem,0.00,Player's current coin balance,None,None,0
Player,Economy/Player,Difficulty Scale Factor,difficultyScaleFactor,CoinSystem,0.20,Multiplier per diff. level,None,None,0
Player,Economy/Player,Game Progression Multiplier,gameProgressionMultiplier,CoinSystem,1.00,Overall coin multiplier,None,None,0
Player,Economy/Player,Stage Scale Factor,stageScaleFactor,CoinSystem,0.15,Multiplier increase per stage,None,None,0
Player,Economy/Player,Time Scale Factor,timeScaleFactor,CoinSystem,0.05,Multiplier increase per second,None,None,0
Player,Player,Player Character,isPlayerCharacter,ChronoCollapseAbility,1.00,Reference to identify this as player ability,None,None,0
Player,Player,Player Reference,isPlayerCharacter,TimeAbilityController,1.00,Identifies this as a player character,None,None,0
Player,Player Abilities,Burst Count,burstCount,ChronoCollapseEffect,1.00,Number of burst particles,None,None,0
Player,Player Abilities,Chrono Charge Time,chargeSeconds,ChronoCollapseAbility,0.20,Time required to charge Chrono Collapse ability,None,None,0
Player,Player Abilities,Chrono Cooldown,cooldownSeconds,ChronoCollapseAbility,2.00,Cooldown duration for Chrono Collapse,None,None,0
Player,Player Abilities,Chrono Energy Cost,energyCost,ChronoCollapseAbility,25.00,Energy required to activate Chrono Collapse,None,None,0
Player,Player Abilities,Chrono Shake Intensity,shakeIntensity,ChronoCollapseAbility,0.30,Camera shake intensity for Chrono Collapse,None,None,0
Player,Player Abilities,Chrono Visual Scale,visualScale,ChronoCollapseAbility,1.00,Scale multiplier for Chrono Collapse visual effects,None,None,0
Player,Player Abilities,Color Intensity,colourIntensity,ChronoCollapseEffect,1.00,Intensity of effect colors,None,None,0
Player,Player Abilities,Distortion Layers,distortionLayers,ChronoCollapseEffect,1.00,Number of distortion ring layers,None,None,0
Player,Player Abilities,Distortion Pulse,distortionPulse,ChronoCollapseEffect,1.00,Pulse intensity of distortion,None,None,0
Player,Player Abilities,Distortion Speed,distortionSpeed,ChronoCollapseEffect,5.00,Speed of distortion animation,None,None,0
Player,Player Abilities,Effect Duration,effectDuration,ChronoCollapseEffect,1.00,Duration of collapse effect,None,None,0
Player,Player Abilities,Effect Radius,effectRadius,ChronoCollapseEffect,10.00,Radius of collapse effect,None,None,0
Player,Player Abilities,Explosion Damage,explosionDamage,ChronoCollapseEffect,20.00,Damage dealt by the explosion (0 = visual only),None,None,0
Player,Player Abilities,Particle Scale,particleScale,ChronoCollapseEffect,1.00,Scale multiplier for all particles,None,None,0
Player,Player Abilities,Reversal Count,reversalCount,ChronoCollapseEffect,1.00,Number of reversal particles,None,None,0
Player,Player Abilities,Ring Spin Speed Max,spinSpeedMax,ChronoCollapseEffect,5.00,Maximum rotation speed for rings,None,None,0
Player,Player Abilities,Ring Spin Speed Min,spinSpeedMin,ChronoCollapseEffect,5.00,Minimum rotation speed for rings,None,None,0
Player,Player Abilities,Shard Count,shardCount,ChronoCollapseEffect,1.00,Number of shard particles,None,None,0
Player,Player Abilities,Shock Ring Count,shockRingCount,ChronoCollapseEffect,1.00,Number of shock rings,None,None,0
Player,Player Abilities,Shock Ring Thickness,shockRingThickness,ChronoCollapseEffect,1.00,Thickness of shock rings,None,None,0
Player,Player Abilities,Unfold Time,unfoldTime,ChronoCollapseEffect,1.00,Time for rings to reach full radius,None,None,0
Player,Player Abilities,Use Time Reversal,useTimeReversal,ChronoCollapseEffect,1.00,Enable time reversal particle effect,None,None,0
Player,Player Combat,Base Damage,baseDamage,TemporalWeaponController,23.00,Base damage dealt per projectile,None,None,0
Player,Player Combat,Fire Rate,fireRate,TemporalWeaponController,2.50,How many shots per second the weapon can fire,None,None,0
Player,Player Combat,Max Ammo,maxAmmo,TemporalWeaponController,8.00,Maximum ammunition capacity,None,None,0
Player,Player Combat,Player Auto Resurrect Delay,autoResDelay,PlayerHealth,2.00,Time in seconds before automatic resurrection,None,None,0
Player,Player Combat,Player Invulnerability Duration,invulnTime,PlayerHealth,0.50,Duration of invulnerability after taking damage,None,None,0
Player,Player Combat,Player Max Health,maxHealth,PlayerHealth,150.00,Maximum player health points,None,None,0
Player,Player Combat,Projectile Speed,projectileSpeed,TemporalWeaponController,25.00,Speed of fired projectiles,None,None,0
Player,Player Combat,Reload Speed Multiplier,reloadSpeedMultiplier,TemporalWeaponController,54.00,Speed multiplier for orb motion during reload,None,None,0
Player,Player Combat,Reload Time,reloadTime,TemporalWeaponController,1.50,Time required to reload weapon,None,None,0
Player,Player Movement,Aim Lock Duration,aimLockDuration,PlayerMovement,5.00,How long aim lock lasts after shooting,None,None,0
Player,Player Movement,Air Drag,airDrag,PlayerMovement,0.10,Drag force applied when airborne,None,None,0
Player,Player Movement,Air Mobility,airMultiplier,PlayerMovement,0.90,Movement control while airborne,None,None,0
Player,Player Movement,Directional Jump Force,directionalJumpForce,PlayerMovement,3.00,Extra force for directional jumps,None,None,0
Player,Player Movement,Double Jump Force,doubleJumpForce,PlayerMovement,6.00,Force applied for double jump,None,None,0
Player,Player Movement,Ground Drag,groundDrag,PlayerMovement,6.00,Drag force applied when grounded,None,None,0
Player,Player Movement,Jump Cooldown,jumpCooldown,PlayerMovement,0.10,Cooldown between jump attempts,None,None,0
Player,Player Movement,Jump Force,jumpForce,PlayerMovement,7.00,Force applied when jumping,None,None,0
Player,Player Movement,Max Jumps,maxJumps,PlayerMovement,2.00,Maximum number of jumps before landing,None,None,0
Player,Player Movement,Sprint Multiplier,sprintMultiplier,PlayerMovement,1.50,Speed multiplier when sprinting,None,None,0
Player,Player Movement,Turn Speed,rotationSpeed,PlayerMovement,15.00,How fast the player can turn,None,None,0
Player,Player Movement,Walk Speed,walkSpeed,PlayerMovement,5.50,Base walking speed of the player,None,None,0
Player,Player Time,Chrono Collapse Cooldown,chronoCollapseCooldown,TimeAbilityController,8.00,Cooldown time for chrono collapse,None,None,0
Player,Player Time,Chrono Collapse Cost,chronoCollapseCost,TimeAbilityController,25.00,Energy cost for chrono collapse,None,None,0
Player,Player Time,Dilation Cooldown,dilationCooldown,TimeAbilityController,3.00,Cooldown time for dilation ability,None,None,0
Player,Player Time,Dilation Energy Cost,dilationCost,TimeAbilityController,15.00,Energy cost per second for time dilation,None,None,0
Player,Player Time,Dilation Scale,dilationScale,TimeAbilityController,0.40,Time scale during dilation (0.3 = 30% speed),None,None,0
Player,Player Time,Energy Regen Delay,timeEnergyRegenDelay,TimeAbilityController,1.50,Delay before energy starts regenerating,None,None,0
Player,Player Time,Energy Regen Rate,energyRegenRate,TimeAbilityController,10.00,Energy regeneration per second,None,None,0
Player,Player Time,Freeze Cooldown,freezeCooldown,TimeAbilityController,5.00,Cooldown time for freeze ability,None,None,0
Player,Player Time,Freeze Duration,freezeDuration,TimeAbilityController,3.00,Duration of temporal freeze,None,None,0
Player,Player Time,Freeze Energy Cost,freezeCost,TimeAbilityController,20.00,Energy cost for freeze ability,None,None,0
Player,Player Time,Freeze Radius,freezeRadius,TimeAbilityController,10.00,Radius of freeze effect,None,None,0
Player,Player Time,Max Time Energy,maxTimeEnergy,TimeAbilityController,100.00,Maximum temporal energy,None,None,0
Player,Player Time,Rewind Cooldown,rewindCooldown,TimeAbilityController,8.00,Cooldown time for rewind ability,None,None,0
Player,Player Time,Rewind Duration,rewindDuration,TimeAbilityController,4.00,How far back to rewind,None,None,0
Player,Player Time,Rewind Energy Cost,rewindCost,TimeAbilityController,30.00,Energy cost for rewind ability,None,None,0
